Name,Year,hkls_name,hkls_link,price_name,price_link,wastons_name,wastons_link,masterofmalt_id,masterofmalt_url
Benriach,15,The BenRiach 15 Years Pedro Ximenez Finish Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-benriach-15-years-pedro-ximenez-finish-single-malt-whisky.html,,,,,1808,https://www.masterofmalt.com/whiskies/benriach-15-year-old-pedro-ximinez-sherry-cask-finish-whisky/?srh=1
Bushmills,21,Bushmills 21 Years Single Malt Irish Whiskey,https://www.hkliquorstore.com/index.php/bushmills-21-years-single-malt-irish-whiskey.html,Bushmills Single Malt Irish Whiskey 21 Year Old,https://www.price.com.hk/product.php?p=475840,,,9455,https://www.masterofmalt.com/whiskies/bushmills/bushmills-21-year-old-whiskey/?srh=1
Glengoyne,21,,,Glengoyne 21 Years,https://www.price.com.hk/product.php?p=366341,,,2098,https://www.masterofmalt.com/whiskies/glengoyne-21-year-old-whisky/?srh=1
Benromach,15,Benromach 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/benromach-15-years-single-malt-whisky.html,,,,,42272,https://www.masterofmalt.com/whiskies/benromach/benromach-15-year-old-whisky/?srh=1
Balvenie,16,,,Balvenie 16 Year Old Triple Cask 700ml,https://www.price.com.hk/product.php?p=275963,,,38424,https://www.masterofmalt.com/whiskies/balvenie/balvenie-16-year-old-triple-cask-whisky/?srh=1
Lochnagar,12,Royal Lochnagar 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/royal-lochnagar-12-years-single-malt-whisky.html,,,,,2568,https://www.masterofmalt.com/whiskies/royal-lochnagar-12-year-old-whisky/?srh=1
Tomatin,12,Tomatin 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/tomatin-12-years-single-malt-whisky.html,Tomatin 12 Year Old Bourbon & Sherry Casks Scotch Whisky,https://www.price.com.hk/product.php?p=348547,,,34014,https://www.masterofmalt.com/whiskies/tomatin/tomatin-12-year-old-whisky/?srh=1
AnCnoc,12,anCnoc 12 Years Highland Single Malt Whisky,https://www.hkliquorstore.com/index.php/ancnoc-12-years-highland-single-malt-whisky.html,anCnoc 12 Years Old Highland Single Malt Scotch Whisky 70cl,https://www.price.com.hk/product.php?p=321408,,,2439,https://www.masterofmalt.com/whiskies/ancnoc-12-year-old-whisky/?srh=1
Dalmore,18,The Dalmore 18 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-dalmore-18-years-single-malt-whisky.html,The Dalmore 18 Years Old Highland Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=228040,,,11229,https://www.masterofmalt.com/whiskies/dalmore-18-year-old-whisky/?srh=1
Aberlour,16,Aberlour 16 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/aberlour-16-years-single-malt-whisky.html,Aberlour 16 Years Old Highland Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=227063,,,1713,https://www.masterofmalt.com/whiskies/aberlour-16-year-old-whisky/?srh=1
